ES: 0    acc: 0.07625661375661376,
ES: 10    acc: 0.678968253968254,
ES: 20    acc: 0.7749338624338624,
ES: 30    acc: 0.6847883597883598,
ES: 40    acc: 0.7501322751322751,
ES: 50    acc: 0.7382275132275132,
ES: 60    acc: 0.6707671957671958,
ES: 70    acc: 0.6800264550264551,
ES: 80    acc: 0.7234126984126984,
ES: 90    acc: 0.7058201058201058,
ES: 100    acc: 0.6853835978835978,
ES: 110    acc: 0.7340608465608467,
ES: 120    acc: 0.7517857142857142,
ES: 130    acc: 0.7588624338624339,
ES: 140    acc: 0.6689814814814815,
ES: 150    acc: 0.669510582010582,
ES: 160    acc: 0.7143518518518519,
ES: 170    acc: 0.7276455026455027,
ES: 180    acc: 0.7070767195767196,
ES: 190    acc: 0.7286375661375661,
ES: 200    acc: 0.7658068783068782,
ES: 210    acc: 0.7820767195767195,
ES: 220    acc: 0.7706349206349207,
ES: 230    acc: 0.6866402116402117,
ES: 240    acc: 0.782010582010582,
ES: 250    acc: 0.7496031746031746,
ES: 260    acc: 0.744973544973545,
ES: 270    acc: 0.7686507936507936,
ES: 280    acc: 0.7943121693121693,
ES: 290    acc: 0.7945767195767196,
ES: 300    acc: 0.7674603174603174,
ES: 310    acc: 0.8345238095238094,
ES: 320    acc: 0.8230820105820106,
ES: 330    acc: 0.828505291005291,
ES: 340    acc: 0.8341931216931217,
ES: 350    acc: 0.8320767195767196,
ES: 360    acc: 0.824867724867725,
ES: 370    acc: 0.8280423280423281,
ES: 380    acc: 0.8328703703703704,
ES: 390    acc: 0.8339285714285716,
ES: 400    acc: 0.8369047619047618,
ES: 410    acc: 0.8373015873015873,
ES: 420    acc: 0.8282407407407406,
ES: 430    acc: 0.8474206349206348,
ES: 440    acc: 0.8404761904761905,
ES: 450    acc: 0.8431878306878307,
ES: 460    acc: 0.8524470899470898,
ES: 470    acc: 0.8457010582010582,
ES: 480    acc: 0.8491402116402117,
ES: 490    acc: 0.8343253968253969,
ES: 500    acc: 0.8363095238095237,
ES: 510    acc: 0.8407407407407407,
ES: 520    acc: 0.8401455026455027,
ES: 530    acc: 0.836243386243386,
ES: 540    acc: 0.8342592592592591,
ES: 550    acc: 0.836111111111111,
ES: 560    acc: 0.8475529100529101,
ES: 570    acc: 0.8429894179894181,
ES: 580    acc: 0.8403439153439154,
ES: 590    acc: 0.8427910052910054,
ES: 600    acc: 0.8458333333333335,
ES: 610    acc: 0.8459656084656085,
ES: 620    acc: 0.8467592592592592,
ES: 630    acc: 0.8496031746031747,
ES: 640    acc: 0.8480158730158729,
ES: 650    acc: 0.846957671957672,
ES: 660    acc: 0.8452380952380952,
ES: 670    acc: 0.8483465608465609,
ES: 680    acc: 0.8478174603174604,
ES: 690    acc: 0.8373677248677248,
ES: 700    acc: 0.8447089947089946,
ES: 710    acc: 0.8493386243386242,
ES: 720    acc: 0.8432539682539681,
ES: 730    acc: 0.8501984126984128,
ES: 740    acc: 0.852579365079365,
ES: 750    acc: 0.8494708994708994,
ES: 760    acc: 0.8487433862433862,
ES: 770    acc: 0.8460978835978835,
ES: 780    acc: 0.8442460317460319,
ES: 790    acc: 0.8351851851851853,
ES: 800    acc: 0.8014550264550266,
ES: 810    acc: 0.8122354497354497,
ES: 820    acc: 0.8351190476190474,
ES: 830    acc: 0.8470899470899471,
ES: 840    acc: 0.8494708994708994,
ES: 850    acc: 0.850462962962963,
ES: 860    acc: 0.835383597883598,
ES: 870    acc: 0.8500661375661377,
ES: 880    acc: 0.8419973544973545,
ES: 890    acc: 0.845304232804233,
ES: 900    acc: 0.8454365079365079,
ES: 910    acc: 0.851521164021164,
ES: 920    acc: 0.8474867724867725,
ES: 930    acc: 0.8427910052910053,
ES: 940    acc: 0.8531746031746031,
ES: 950    acc: 0.8523809523809524,
ES: 960    acc: 0.8437169312169314,
ES: 970    acc: 0.8490740740740741,
ES: 980    acc: 0.8447089947089946,
ES: 990    acc: 0.8396825396825397,
ES: 1000    acc: 0.8528439153439153,
ES: 1010    acc: 0.8416666666666666,
ES: 1020    acc: 0.8396825396825397,
ES: 1030    acc: 0.8508597883597883,
ES: 1040    acc: 0.8346560846560847,
ES: 1050    acc: 0.8386904761904763,
ES: 1060    acc: 0.8503968253968253,
ES: 1070    acc: 0.8441798941798941,
ES: 1080    acc: 0.8423941798941799,
ES: 1090    acc: 0.8505291005291002,
ES: 1100    acc: 0.8387566137566138,
ES: 1110    acc: 0.8502645502645502,
ES: 1120    acc: 0.8433862433862434,
ES: 1130    acc: 0.8423941798941799,
ES: 1140    acc: 0.8511243386243386,
ES: 1150    acc: 0.8514550264550266,
ES: 1160    acc: 0.845568783068783,
ES: 1170    acc: 0.8481481481481481,
ES: 1180    acc: 0.8429894179894178,
ES: 1190    acc: 0.836441798941799,
ES: 1200    acc: 0.8482142857142858,
ES: 1210    acc: 0.8478174603174603,
ES: 1220    acc: 0.8396164021164021,
ES: 1230    acc: 0.8515211640211641,
ES: 1240    acc: 0.840079365079365,
ES: 1250    acc: 0.8488756613756614,
ES: 1260    acc: 0.8492724867724867,
ES: 1270    acc: 0.8523809523809526,
ES: 1280    acc: 0.8442460317460319,
ES: 1290    acc: 0.8461640211640212,
ES: 1300    acc: 0.8449735449735449,
ES: 1310    acc: 0.8373015873015873,
ES: 1320    acc: 0.8457010582010582,
ES: 1330    acc: 0.8490740740740741,
ES: 1340    acc: 0.84755291005291,
ES: 1350    acc: 0.8464285714285713,
ES: 1360    acc: 0.8454365079365079,
ES: 1370    acc: 0.8367063492063492,
ES: 1380    acc: 0.847420634920635,
ES: 1390    acc: 0.8482804232804233,
ES: 1400    acc: 0.8507936507936508,
ES: 1410    acc: 0.8472222222222223,
ES: 1420    acc: 0.8501984126984128,
ES: 1430    acc: 0.8499338624338624,
ES: 1440    acc: 0.8427248677248675,
ES: 1450    acc: 0.8488756613756614,
ES: 1460    acc: 0.8532407407407406,
ES: 1470    acc: 0.8462301587301587,
ES: 1480    acc: 0.8527116402116401,
ES: 1490    acc: 0.8436507936507937,
ES: 1500    acc: 0.8518518518518517,
ES: 1510    acc: 0.8507936507936508,
ES: 1520    acc: 0.8527116402116401,
ES: 1530    acc: 0.8531084656084655,
ES: 1540    acc: 0.8508597883597883,
ES: 1550    acc: 0.8540343915343914,
ES: 1560    acc: 0.8400793650793652,
ES: 1570    acc: 0.8499338624338624,
ES: 1580    acc: 0.8507275132275133,
ES: 1590    acc: 0.8378968253968253,
ES: 1600    acc: 0.8535052910052909,
ES: 1610    acc: 0.851653439153439,
ES: 1620    acc: 0.8536375661375661,
ES: 1630    acc: 0.8500661375661375,
ES: 1640    acc: 0.8503968253968255,
ES: 1650    acc: 0.8485449735449736,
ES: 1660    acc: 0.8451719576719576,
ES: 1670    acc: 0.8396825396825396,
ES: 1680    acc: 0.8484788359788361,
ES: 1690    acc: 0.8442460317460316,
ES: 1700    acc: 0.8446428571428573,
ES: 1710    acc: 0.8322089947089946,
ES: 1720    acc: 0.8499338624338624,
ES: 1730    acc: 0.8499338624338625,
ES: 1740    acc: 0.8494047619047619,
ES: 1750    acc: 0.8483465608465609,
ES: 1760    acc: 0.8431216931216932,
ES: 1770    acc: 0.8494047619047619,
ES: 1780    acc: 0.841931216931217,
ES: 1790    acc: 0.8454365079365079,
ES: 1800    acc: 0.851388888888889,
ES: 1810    acc: 0.8494047619047619,
ES: 1820    acc: 0.8410052910052912,
ES: 1830    acc: 0.8439814814814814,
ES: 1840    acc: 0.853373015873016,
ES: 1850    acc: 0.8427248677248678,
ES: 1860    acc: 0.8510582010582011,
ES: 1870    acc: 0.8482804232804233,
ES: 1880    acc: 0.8536375661375661,
ES: 1890    acc: 0.8457010582010582,
ES: 1900    acc: 0.8488756613756614,
ES: 1910    acc: 0.8456349206349205,
ES: 1920    acc: 0.8445105820105819,
ES: 1930    acc: 0.84755291005291,
ES: 1940    acc: 0.8479497354497354,
ES: 1950    acc: 0.8429894179894181,
ES: 1960    acc: 0.8482804232804233,
ES: 1970    acc: 0.8429232804232804,
ES: 1980    acc: 0.8449735449735449,
ES: 1990    acc: 0.8493386243386244,
ES: 2000    acc: 0.8480820105820106,
ES: 2010    acc: 0.8330026455026454,
ES: 2020    acc: 0.8423941798941799,
ES: 2030    acc: 0.8506613756613757,
ES: 2040    acc: 0.8478174603174603,
ES: 2050    acc: 0.8418650793650795,
ES: 2060    acc: 0.8476851851851853,
ES: 2070    acc: 0.8521825396825398,
ES: 2080    acc: 0.845568783068783,
ES: 2090    acc: 0.8520502645502646,
ES: 2100    acc: 0.8517195767195768,
ES: 2110    acc: 0.8429894179894181,
ES: 2120    acc: 0.8494708994708994,
ES: 2130    acc: 0.8489417989417989,
ES: 2140    acc: 0.8468253968253968,
ES: 2150    acc: 0.8478174603174603,
ES: 2160    acc: 0.8503968253968253,
ES: 2170    acc: 0.8546296296296296,
ES: 2180    acc: 0.8443121693121693,
ES: 2190    acc: 0.8369047619047618,
ES: 2200    acc: 0.8472883597883598,
ES: 2210    acc: 0.8458333333333334,
ES: 2220    acc: 0.8484126984126983,
ES: 2230    acc: 0.8522486772486773,
ES: 2240    acc: 0.8539021164021164,
ES: 2250    acc: 0.8463624338624338,
ES: 2260    acc: 0.8457010582010582,
ES: 2270    acc: 0.85,
ES: 2280    acc: 0.8445767195767196,
ES: 2290    acc: 0.8501984126984127,
ES: 2300    acc: 0.845304232804233,
ES: 2310    acc: 0.8482804232804233,
ES: 2320    acc: 0.8384920634920634,
ES: 2330    acc: 0.8509920634920635,
ES: 2340    acc: 0.8526455026455025,
ES: 2350    acc: 0.8482142857142858,
ES: 2360    acc: 0.8539021164021163,
ES: 2370    acc: 0.8392857142857142,
ES: 2380    acc: 0.8480158730158729,
ES: 2390    acc: 0.8420634920634921,
ES: 2400    acc: 0.850793650793651,
ES: 2410    acc: 0.8425925925925926,
ES: 2420    acc: 0.8423280423280423,
ES: 2430    acc: 0.8519179894179894,
ES: 2440    acc: 0.8405423280423282,
ES: 2450    acc: 0.8494708994708994,
ES: 2460    acc: 0.8511904761904763,
ES: 2470    acc: 0.8517195767195768,
ES: 2480    acc: 0.8394179894179894,
ES: 2490    acc: 0.8537698412698411,
ES: 2500    acc: 0.8467592592592592,
ES: 2510    acc: 0.8468253968253968,
ES: 2520    acc: 0.851388888888889,
ES: 2530    acc: 0.8497354497354497,
ES: 2540    acc: 0.847420634920635,
ES: 2550    acc: 0.8524470899470898,
ES: 2560    acc: 0.8449735449735449,
ES: 2570    acc: 0.8462301587301588,
ES: 2580    acc: 0.8477513227513228,
ES: 2590    acc: 0.8477513227513228,
ES: 2600    acc: 0.8518518518518517,
ES: 2610    acc: 0.8467592592592593,
ES: 2620    acc: 0.8478835978835978,
ES: 2630    acc: 0.8537698412698413,
ES: 2640    acc: 0.8453042328042327,
ES: 2650    acc: 0.8519841269841268,
ES: 2660    acc: 0.8502645502645502,
ES: 2670    acc: 0.849867724867725,
ES: 2680    acc: 0.8493386243386244,
ES: 2690    acc: 0.8437830687830686,
ES: 2700    acc: 0.8480158730158729,
ES: 2710    acc: 0.8467592592592593,
ES: 2720    acc: 0.8499338624338625,
ES: 2730    acc: 0.8497354497354497,
ES: 2740    acc: 0.8523809523809524,
ES: 2750    acc: 0.8437830687830686,
ES: 2760    acc: 0.8482804232804233,
ES: 2770    acc: 0.8511904761904763,
ES: 2780    acc: 0.8526455026455027,
ES: 2790    acc: 0.8471560846560846,
ES: 2800    acc: 0.853835978835979,
ES: 2810    acc: 0.8489417989417989,
ES: 2820    acc: 0.8485449735449734,
ES: 2830    acc: 0.8439814814814814,
ES: 2840    acc: 0.8430555555555556,
ES: 2850    acc: 0.8392857142857142,
ES: 2860    acc: 0.8496031746031745,
ES: 2870    acc: 0.8447089947089947,
ES: 2880    acc: 0.8429894179894181,
ES: 2890    acc: 0.8434523809523808,
ES: 2900    acc: 0.8543650793650794,
ES: 2910    acc: 0.8419973544973545,
ES: 2920    acc: 0.8476190476190476,
ES: 2930    acc: 0.8409391534391533,
ES: 2940    acc: 0.8527116402116401,
ES: 2950    acc: 0.8441798941798941,
ES: 2960    acc: 0.8508597883597883,
ES: 2970    acc: 0.8509920634920635,
ES: 2980    acc: 0.8521825396825398,
ES: 2990    acc: 0.8458994708994707,
best set: [0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1.]    best_acc: 0.8604497354497355,
