ES: 0    acc: 0.0748015873015873, 
ES: 10    acc: 0.7451719576719575, 
ES: 20    acc: 0.7492063492063492, 
ES: 30    acc: 0.7346560846560847, 
ES: 40    acc: 0.7488095238095237, 
ES: 50    acc: 0.7263227513227514, 
ES: 60    acc: 0.7193783068783067, 
ES: 70    acc: 0.7347883597883598, 
ES: 80    acc: 0.7132275132275133, 
ES: 90    acc: 0.7205026455026455, 
ES: 100    acc: 0.7387566137566137, 
ES: 110    acc: 0.7489417989417989, 
ES: 120    acc: 0.7123015873015873, 
ES: 130    acc: 0.7408068783068783, 
ES: 140    acc: 0.7555555555555555, 
ES: 150    acc: 0.726653439153439, 
ES: 160    acc: 0.7257936507936509, 
ES: 170    acc: 0.7444444444444442, 
ES: 180    acc: 0.7333333333333333, 
ES: 190    acc: 0.7438492063492064, 
ES: 200    acc: 0.7874999999999999, 
ES: 210    acc: 0.728968253968254, 
ES: 220    acc: 0.7406084656084656, 
ES: 230    acc: 0.7286375661375661, 
ES: 240    acc: 0.7296296296296296, 
ES: 250    acc: 0.7623015873015873, 
ES: 260    acc: 0.7729497354497354, 
ES: 270    acc: 0.7335317460317461, 
ES: 280    acc: 0.7742063492063492, 
ES: 290    acc: 0.7233465608465608, 
ES: 300    acc: 0.772883597883598, 
ES: 310    acc: 0.7823412698412698, 
ES: 320    acc: 0.7457010582010581, 
ES: 330    acc: 0.7483465608465607, 
ES: 340    acc: 0.7136904761904763, 
ES: 350    acc: 0.7012566137566137, 
ES: 360    acc: 0.7419973544973545, 
ES: 370    acc: 0.7525793650793651, 
ES: 380    acc: 0.736904761904762, 
ES: 390    acc: 0.7903439153439153, 
ES: 400    acc: 0.7762566137566137, 
ES: 410    acc: 0.7439153439153439, 
ES: 420    acc: 0.7673941798941799, 
ES: 430    acc: 0.7567460317460316, 
ES: 440    acc: 0.8017857142857142, 
ES: 450    acc: 0.755952380952381, 
ES: 460    acc: 0.7139550264550263, 
ES: 470    acc: 0.7831349206349206, 
ES: 480    acc: 0.7511243386243385, 
ES: 490    acc: 0.7413359788359788, 
ES: 500    acc: 0.7898809523809524, 
ES: 510    acc: 0.7649470899470899, 
ES: 520    acc: 0.7535052910052911, 
ES: 530    acc: 0.7781746031746033, 
ES: 540    acc: 0.7891534391534389, 
ES: 550    acc: 0.7395502645502645, 
ES: 560    acc: 0.7658068783068783, 
ES: 570    acc: 0.7639550264550264, 
ES: 580    acc: 0.7657407407407406, 
ES: 590    acc: 0.7716931216931218, 
ES: 600    acc: 0.7636904761904761, 
ES: 610    acc: 0.8241402116402117, 
ES: 620    acc: 0.7529761904761905, 
ES: 630    acc: 0.7392195767195767, 
ES: 640    acc: 0.7623015873015874, 
ES: 650    acc: 0.7331349206349206, 
ES: 660    acc: 0.7832671957671957, 
ES: 670    acc: 0.8091269841269841, 
ES: 680    acc: 0.794973544973545, 
ES: 690    acc: 0.7903439153439153, 
ES: 700    acc: 0.7855820105820106, 
ES: 710    acc: 0.7666005291005291, 
ES: 720    acc: 0.757142857142857, 
ES: 730    acc: 0.7996031746031746, 
ES: 740    acc: 0.7517195767195767, 
ES: 750    acc: 0.7746031746031745, 
ES: 760    acc: 0.816335978835979, 
ES: 770    acc: 0.7595899470899471, 
ES: 780    acc: 0.7618386243386241, 
ES: 790    acc: 0.7611111111111112, 
ES: 800    acc: 0.7656084656084656, 
ES: 810    acc: 0.7499999999999999, 
ES: 820    acc: 0.7692460317460318, 
ES: 830    acc: 0.7603174603174603, 
ES: 840    acc: 0.7884259259259259, 
ES: 850    acc: 0.8043650793650793, 
ES: 860    acc: 0.769973544973545, 
ES: 870    acc: 0.7811507936507937, 
ES: 880    acc: 0.7842592592592592, 
ES: 890    acc: 0.8240740740740741, 
ES: 900    acc: 0.8027116402116402, 
ES: 910    acc: 0.7795634920634921, 
ES: 920    acc: 0.7517195767195768, 
ES: 930    acc: 0.7992063492063493, 
ES: 940    acc: 0.8042328042328041, 
ES: 950    acc: 0.8288359788359788, 
ES: 960    acc: 0.7881613756613757, 
ES: 970    acc: 0.8011904761904761, 
ES: 980    acc: 0.8183201058201058, 
ES: 990    acc: 0.8390211640211639, 
ES: 1000    acc: 0.7982142857142857, 
ES: 1010    acc: 0.8222883597883598, 
ES: 1020    acc: 0.7675925925925926, 
ES: 1030    acc: 0.8027116402116402, 
ES: 1040    acc: 0.7958333333333333, 
ES: 1050    acc: 0.7459656084656086, 
ES: 1060    acc: 0.7958994708994709, 
ES: 1070    acc: 0.8075396825396826, 
ES: 1080    acc: 0.8227513227513228, 
ES: 1090    acc: 0.798941798941799, 
ES: 1100    acc: 0.8284391534391535, 
ES: 1110    acc: 0.8101190476190476, 
ES: 1120    acc: 0.8019179894179894, 
ES: 1130    acc: 0.8097222222222223, 
ES: 1140    acc: 0.8291005291005291, 
ES: 1150    acc: 0.7503968253968253, 
ES: 1160    acc: 0.8086640211640213, 
ES: 1170    acc: 0.8036375661375661, 
ES: 1180    acc: 0.8029100529100528, 
ES: 1190    acc: 0.8289682539682539, 
ES: 1200    acc: 0.821031746031746, 
ES: 1210    acc: 0.7661375661375661, 
ES: 1220    acc: 0.8091269841269841, 
ES: 1230    acc: 0.7897486772486773, 
ES: 1240    acc: 0.8214285714285714, 
ES: 1250    acc: 0.7979497354497356, 
ES: 1260    acc: 0.7837301587301587, 
ES: 1270    acc: 0.8218253968253968, 
ES: 1280    acc: 0.8248015873015874, 
ES: 1290    acc: 0.8001984126984126, 
ES: 1300    acc: 0.8169973544973546, 
ES: 1310    acc: 0.7842592592592592, 
ES: 1320    acc: 0.7904761904761906, 
ES: 1330    acc: 0.7973544973544973, 
ES: 1340    acc: 0.828505291005291, 
ES: 1350    acc: 0.8174603174603174, 
ES: 1360    acc: 0.8209656084656084, 
ES: 1370    acc: 0.8287698412698413, 
ES: 1380    acc: 0.8318783068783068, 
ES: 1390    acc: 0.824867724867725, 
ES: 1400    acc: 0.8191798941798941, 
ES: 1410    acc: 0.8199074074074073, 
ES: 1420    acc: 0.8033730158730158, 
ES: 1430    acc: 0.8247354497354499, 
ES: 1440    acc: 0.7684523809523809, 
ES: 1450    acc: 0.8230820105820105, 
ES: 1460    acc: 0.8222883597883597, 
ES: 1470    acc: 0.8394841269841269, 
ES: 1480    acc: 0.8259920634920634, 
ES: 1490    acc: 0.8283068783068781, 
ES: 1500    acc: 0.8335978835978836, 
ES: 1510    acc: 0.8202380952380952, 
ES: 1520    acc: 0.8243386243386244, 
ES: 1530    acc: 0.7949735449735449, 
ES: 1540    acc: 0.8289682539682539, 
ES: 1550    acc: 0.8208333333333332, 
ES: 1560    acc: 0.8132936507936506, 
ES: 1570    acc: 0.8203042328042327, 
ES: 1580    acc: 0.8428571428571429, 
ES: 1590    acc: 0.8180555555555555, 
ES: 1600    acc: 0.806878306878307, 
ES: 1610    acc: 0.8275132275132275, 
ES: 1620    acc: 0.8111111111111111, 
ES: 1630    acc: 0.818452380952381, 
ES: 1640    acc: 0.8308862433862434, 
ES: 1650    acc: 0.8515873015873016, 
ES: 1660    acc: 0.8273148148148148, 
ES: 1670    acc: 0.8132936507936508, 
ES: 1680    acc: 0.8229497354497355, 
ES: 1690    acc: 0.8087962962962962, 
ES: 1700    acc: 0.8421296296296296, 
ES: 1710    acc: 0.8330687830687831, 
ES: 1720    acc: 0.8413359788359788, 
ES: 1730    acc: 0.8267195767195767, 
ES: 1740    acc: 0.8130291005291005, 
ES: 1750    acc: 0.8393518518518519, 
ES: 1760    acc: 0.8161375661375662, 
ES: 1770    acc: 0.8027777777777778, 
ES: 1780    acc: 0.8235449735449736, 
ES: 1790    acc: 0.827910052910053, 
ES: 1800    acc: 0.7973544973544974, 
ES: 1810    acc: 0.8326719576719578, 
ES: 1820    acc: 0.8350529100529102, 
ES: 1830    acc: 0.8333333333333334, 
ES: 1840    acc: 0.8184523809523808, 
ES: 1850    acc: 0.8437169312169311, 
ES: 1860    acc: 0.8203042328042327, 
ES: 1870    acc: 0.8144841269841269, 
ES: 1880    acc: 0.8385582010582009, 
ES: 1890    acc: 0.8231481481481481, 
ES: 1900    acc: 0.8460978835978835, 
ES: 1910    acc: 0.8488095238095237, 
ES: 1920    acc: 0.822420634920635, 
ES: 1930    acc: 0.841468253968254, 
ES: 1940    acc: 0.8221560846560847, 
ES: 1950    acc: 0.8406084656084657, 
ES: 1960    acc: 0.8334656084656086, 
ES: 1970    acc: 0.8328042328042328, 
ES: 1980    acc: 0.8316798941798943, 
ES: 1990    acc: 0.8325396825396825, 
ES: 2000    acc: 0.8193121693121693, 
ES: 2010    acc: 0.8222222222222222, 
ES: 2020    acc: 0.8382936507936508, 
ES: 2030    acc: 0.8330026455026456, 
ES: 2040    acc: 0.8375661375661376, 
ES: 2050    acc: 0.8045634920634921, 
ES: 2060    acc: 0.835846560846561, 
ES: 2070    acc: 0.841137566137566, 
ES: 2080    acc: 0.8264550264550264, 
ES: 2090    acc: 0.8426587301587303, 
ES: 2100    acc: 0.8383597883597883, 
ES: 2110    acc: 0.8544312169312169, 
ES: 2120    acc: 0.8550925925925925, 
ES: 2130    acc: 0.8585317460317461, 
ES: 2140    acc: 0.8533730158730158, 
ES: 2150    acc: 0.8525132275132276, 
ES: 2160    acc: 0.8529761904761906, 
ES: 2170    acc: 0.8549603174603174, 
ES: 2180    acc: 0.8537037037037039, 
ES: 2190    acc: 0.8520502645502646, 
ES: 2200    acc: 0.8497354497354497, 
ES: 2210    acc: 0.8513888888888888, 
ES: 2220    acc: 0.8499338624338624, 
ES: 2230    acc: 0.8542328042328042, 
ES: 2240    acc: 0.8537037037037036, 
ES: 2250    acc: 0.8543650793650792, 
ES: 2260    acc: 0.8438492063492065, 
ES: 2270    acc: 0.8471560846560845, 
ES: 2280    acc: 0.8314814814814815, 
ES: 2290    acc: 0.8531746031746034, 
ES: 2300    acc: 0.8515211640211641, 
ES: 2310    acc: 0.8437830687830689, 
ES: 2320    acc: 0.8509920634920632, 
ES: 2330    acc: 0.8529100529100531, 
ES: 2340    acc: 0.8527116402116401, 
ES: 2350    acc: 0.8451719576719576, 
ES: 2360    acc: 0.8048941798941798, 
ES: 2370    acc: 0.8078042328042327, 
ES: 2380    acc: 0.8349867724867724, 
ES: 2390    acc: 0.8506613756613755, 
ES: 2400    acc: 0.8505291005291005, 
ES: 2410    acc: 0.8553571428571427, 
ES: 2420    acc: 0.8488095238095237, 
ES: 2430    acc: 0.8533730158730158, 
ES: 2440    acc: 0.852579365079365, 
ES: 2450    acc: 0.8505952380952382, 
ES: 2460    acc: 0.8511243386243386, 
ES: 2470    acc: 0.8517857142857143, 
ES: 2480    acc: 0.851653439153439, 
ES: 2490    acc: 0.8527116402116401, 
ES: 2500    acc: 0.8350529100529098, 
ES: 2510    acc: 0.8354497354497354, 
ES: 2520    acc: 0.8528439153439153, 
ES: 2530    acc: 0.8542989417989417, 
ES: 2540    acc: 0.8538359788359788, 
ES: 2550    acc: 0.8519179894179894, 
ES: 2560    acc: 0.8549603174603174, 
ES: 2570    acc: 0.8453042328042327, 
ES: 2580    acc: 0.8519179894179896, 
ES: 2590    acc: 0.8537037037037036, 
ES: 2600    acc: 0.8491402116402116, 
ES: 2610    acc: 0.817063492063492, 
ES: 2620    acc: 0.8074074074074072, 
ES: 2630    acc: 0.8296957671957671, 
ES: 2640    acc: 0.8497354497354497, 
ES: 2650    acc: 0.8545634920634921, 
ES: 2660    acc: 0.8501984126984128, 
ES: 2670    acc: 0.8552910052910052, 
ES: 2680    acc: 0.8529100529100528, 
ES: 2690    acc: 0.8538359788359788, 
ES: 2700    acc: 0.8545634920634921, 
ES: 2710    acc: 0.8552248677248675, 
ES: 2720    acc: 0.8523809523809522, 
ES: 2730    acc: 0.8514550264550265, 
ES: 2740    acc: 0.849867724867725, 
ES: 2750    acc: 0.8513888888888888, 
ES: 2760    acc: 0.8550264550264549, 
ES: 2770    acc: 0.8494708994708994, 
ES: 2780    acc: 0.8387566137566138, 
ES: 2790    acc: 0.8539682539682539, 
ES: 2800    acc: 0.8536375661375661, 
ES: 2810    acc: 0.8544973544973544, 
ES: 2820    acc: 0.8537698412698413, 
ES: 2830    acc: 0.8489417989417989, 
ES: 2840    acc: 0.8491402116402116, 
ES: 2850    acc: 0.8540343915343914, 
ES: 2860    acc: 0.8399470899470899, 
ES: 2870    acc: 0.8103174603174603, 
ES: 2880    acc: 0.8496693121693122, 
ES: 2890    acc: 0.8557539682539682, 
ES: 2900    acc: 0.8443783068783068, 
ES: 2910    acc: 0.8366402116402117, 
ES: 2920    acc: 0.8538359788359788, 
ES: 2930    acc: 0.846494708994709, 
ES: 2940    acc: 0.851058201058201, 
ES: 2950    acc: 0.8534391534391534, 
ES: 2960    acc: 0.8532407407407406, 
ES: 2970    acc: 0.8529761904761906, 
ES: 2980    acc: 0.8541005291005289, 
ES: 2990    acc: 0.8552248677248675, 
best set: [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1.]    best_acc: 0.8637566137566137,
