ES: 0    acc: 0.07400793650793651, 
ES: 10    acc: 0.8114417989417989, 
ES: 20    acc: 0.8345899470899472, 
ES: 30    acc: 0.8240079365079366, 
ES: 40    acc: 0.8220238095238095, 
ES: 50    acc: 0.8240079365079366, 
ES: 60    acc: 0.8029761904761905, 
ES: 70    acc: 0.8043650793650794, 
ES: 80    acc: 0.8337301587301587, 
ES: 90    acc: 0.8161375661375659, 
ES: 100    acc: 0.8241402116402116, 
ES: 110    acc: 0.8144179894179894, 
ES: 120    acc: 0.8433862433862434, 
ES: 130    acc: 0.8175925925925928, 
ES: 140    acc: 0.8288359788359788, 
ES: 150    acc: 0.8169973544973546, 
ES: 160    acc: 0.8081349206349205, 
ES: 170    acc: 0.8388227513227514, 
ES: 180    acc: 0.8143518518518518, 
ES: 190    acc: 0.801984126984127, 
ES: 200    acc: 0.8044973544973544, 
ES: 210    acc: 0.8138227513227514, 
ES: 220    acc: 0.8125661375661375, 
ES: 230    acc: 0.8400132275132275, 
ES: 240    acc: 0.8337962962962961, 
ES: 250    acc: 0.8333333333333333, 
ES: 260    acc: 0.8349206349206348, 
ES: 270    acc: 0.8347883597883599, 
ES: 280    acc: 0.8300264550264549, 
ES: 290    acc: 0.8265873015873015, 
ES: 300    acc: 0.8419973544973545, 
ES: 310    acc: 0.8449735449735449, 
ES: 320    acc: 0.8371693121693122, 
ES: 330    acc: 0.8474867724867725, 
ES: 340    acc: 0.8447089947089947, 
ES: 350    acc: 0.8425925925925926, 
ES: 360    acc: 0.8449735449735449, 
ES: 370    acc: 0.8375, 
ES: 380    acc: 0.8435185185185186, 
ES: 390    acc: 0.8301587301587302, 
ES: 400    acc: 0.8542328042328041, 
ES: 410    acc: 0.8538359788359788, 
ES: 420    acc: 0.8521825396825398, 
ES: 430    acc: 0.8302248677248677, 
ES: 440    acc: 0.8471560846560845, 
ES: 450    acc: 0.8386243386243386, 
ES: 460    acc: 0.8449074074074072, 
ES: 470    acc: 0.8462962962962962, 
ES: 480    acc: 0.851058201058201, 
ES: 490    acc: 0.8473544973544973, 
ES: 500    acc: 0.8502645502645503, 
ES: 510    acc: 0.8408068783068783, 
ES: 520    acc: 0.852116402116402, 
ES: 530    acc: 0.8407407407407408, 
ES: 540    acc: 0.8464947089947088, 
ES: 550    acc: 0.8462301587301587, 
ES: 560    acc: 0.8499338624338625, 
ES: 570    acc: 0.8492724867724869, 
ES: 580    acc: 0.8413359788359788, 
ES: 590    acc: 0.8525793650793648, 
ES: 600    acc: 0.8361772486772485, 
ES: 610    acc: 0.8479497354497354, 
ES: 620    acc: 0.8412698412698413, 
ES: 630    acc: 0.8506613756613757, 
ES: 640    acc: 0.8486772486772486, 
ES: 650    acc: 0.8544312169312169, 
ES: 660    acc: 0.8435846560846562, 
ES: 670    acc: 0.8469576719576718, 
ES: 680    acc: 0.8479497354497354, 
ES: 690    acc: 0.8450396825396826, 
ES: 700    acc: 0.8468253968253968, 
ES: 710    acc: 0.8497354497354497, 
ES: 720    acc: 0.8531084656084656, 
ES: 730    acc: 0.8441798941798941, 
ES: 740    acc: 0.8401455026455027, 
ES: 750    acc: 0.8412698412698413, 
ES: 760    acc: 0.8470238095238095, 
ES: 770    acc: 0.8394841269841269, 
ES: 780    acc: 0.852116402116402, 
ES: 790    acc: 0.8361772486772485, 
ES: 800    acc: 0.8439814814814814, 
ES: 810    acc: 0.8519179894179894, 
ES: 820    acc: 0.8507275132275133, 
ES: 830    acc: 0.8525132275132276, 
ES: 840    acc: 0.8482804232804233, 
ES: 850    acc: 0.8498015873015874, 
ES: 860    acc: 0.8519841269841271, 
ES: 870    acc: 0.840542328042328, 
ES: 880    acc: 0.8529100529100528, 
ES: 890    acc: 0.8432539682539681, 
ES: 900    acc: 0.8498015873015874, 
ES: 910    acc: 0.8480158730158731, 
ES: 920    acc: 0.8403439153439154, 
ES: 930    acc: 0.8468915343915345, 
ES: 940    acc: 0.8445105820105819, 
ES: 950    acc: 0.8351851851851851, 
ES: 960    acc: 0.8395502645502646, 
ES: 970    acc: 0.8385582010582011, 
ES: 980    acc: 0.8412037037037037, 
ES: 990    acc: 0.8365740740740742, 
ES: 1000    acc: 0.8454365079365079, 
ES: 1010    acc: 0.8509920634920635, 
ES: 1020    acc: 0.8514550264550265, 
ES: 1030    acc: 0.8382275132275133, 
ES: 1040    acc: 0.8352513227513227, 
ES: 1050    acc: 0.8480820105820106, 
ES: 1060    acc: 0.855489417989418, 
ES: 1070    acc: 0.8527777777777776, 
ES: 1080    acc: 0.840873015873016, 
ES: 1090    acc: 0.8381613756613756, 
ES: 1100    acc: 0.8416005291005291, 
ES: 1110    acc: 0.8489417989417991, 
ES: 1120    acc: 0.8474867724867725, 
ES: 1130    acc: 0.8429894179894178, 
ES: 1140    acc: 0.8457671957671957, 
ES: 1150    acc: 0.8421296296296296, 
ES: 1160    acc: 0.8533068783068783, 
ES: 1170    acc: 0.845568783068783, 
ES: 1180    acc: 0.8456349206349207, 
ES: 1190    acc: 0.8461640211640212, 
ES: 1200    acc: 0.8462962962962963, 
ES: 1210    acc: 0.8556216931216932, 
ES: 1220    acc: 0.8413359788359788, 
ES: 1230    acc: 0.8496693121693122, 
ES: 1240    acc: 0.8501322751322752, 
ES: 1250    acc: 0.8514550264550265, 
ES: 1260    acc: 0.8331349206349206, 
ES: 1270    acc: 0.8473544973544973, 
ES: 1280    acc: 0.8396825396825397, 
ES: 1290    acc: 0.8442460317460319, 
ES: 1300    acc: 0.8531746031746031, 
ES: 1310    acc: 0.8474867724867725, 
ES: 1320    acc: 0.8535714285714286, 
ES: 1330    acc: 0.8487433862433861, 
ES: 1340    acc: 0.8482804232804234, 
ES: 1350    acc: 0.8441798941798941, 
ES: 1360    acc: 0.850925925925926, 
ES: 1370    acc: 0.8388888888888889, 
ES: 1380    acc: 0.8528439153439153, 
ES: 1390    acc: 0.8476851851851851, 
ES: 1400    acc: 0.8417989417989418, 
ES: 1410    acc: 0.8509920634920635, 
ES: 1420    acc: 0.8418650793650793, 
ES: 1430    acc: 0.8410714285714285, 
ES: 1440    acc: 0.8528439153439153, 
ES: 1450    acc: 0.8427910052910054, 
ES: 1460    acc: 0.8514550264550265, 
ES: 1470    acc: 0.8414021164021165, 
ES: 1480    acc: 0.8415343915343916, 
ES: 1490    acc: 0.8413359788359788, 
ES: 1500    acc: 0.8474867724867725, 
ES: 1510    acc: 0.846957671957672, 
ES: 1520    acc: 0.8430555555555556, 
ES: 1530    acc: 0.8412037037037038, 
ES: 1540    acc: 0.8369047619047618, 
ES: 1550    acc: 0.8454365079365079, 
ES: 1560    acc: 0.849537037037037, 
ES: 1570    acc: 0.850595238095238, 
ES: 1580    acc: 0.851521164021164, 
ES: 1590    acc: 0.8535052910052912, 
ES: 1600    acc: 0.8511904761904763, 
ES: 1610    acc: 0.8491402116402117, 
ES: 1620    acc: 0.8492063492063492, 
ES: 1630    acc: 0.8523809523809524, 
ES: 1640    acc: 0.849867724867725, 
ES: 1650    acc: 0.8480158730158731, 
ES: 1660    acc: 0.8421296296296296, 
ES: 1670    acc: 0.8526455026455027, 
ES: 1680    acc: 0.8429232804232804, 
ES: 1690    acc: 0.8491402116402116, 
ES: 1700    acc: 0.8411375661375662, 
ES: 1710    acc: 0.8486772486772487, 
ES: 1720    acc: 0.8478174603174603, 
ES: 1730    acc: 0.851653439153439, 
ES: 1740    acc: 0.8467592592592592, 
ES: 1750    acc: 0.850925925925926, 
ES: 1760    acc: 0.8478835978835979, 
ES: 1770    acc: 0.8480820105820106, 
ES: 1780    acc: 0.8490079365079366, 
ES: 1790    acc: 0.8472883597883598, 
ES: 1800    acc: 0.841468253968254, 
ES: 1810    acc: 0.8450396825396826, 
ES: 1820    acc: 0.846494708994709, 
ES: 1830    acc: 0.8548280423280424, 
ES: 1840    acc: 0.8445105820105822, 
ES: 1850    acc: 0.8498015873015874, 
ES: 1860    acc: 0.8483465608465608, 
ES: 1870    acc: 0.8517195767195768, 
ES: 1880    acc: 0.8421957671957673, 
ES: 1890    acc: 0.8521825396825398, 
ES: 1900    acc: 0.8479497354497354, 
ES: 1910    acc: 0.850925925925926, 
ES: 1920    acc: 0.8452380952380952, 
ES: 1930    acc: 0.8492063492063492, 
ES: 1940    acc: 0.8456349206349207, 
ES: 1950    acc: 0.8488756613756614, 
ES: 1960    acc: 0.850925925925926, 
ES: 1970    acc: 0.8441137566137566, 
ES: 1980    acc: 0.8353835978835977, 
ES: 1990    acc: 0.8457671957671957, 
ES: 2000    acc: 0.840542328042328, 
ES: 2010    acc: 0.8452380952380952, 
ES: 2020    acc: 0.8537037037037039, 
ES: 2030    acc: 0.8529761904761906, 
ES: 2040    acc: 0.8376322751322751, 
ES: 2050    acc: 0.8486111111111111, 
ES: 2060    acc: 0.8488095238095237, 
ES: 2070    acc: 0.8478835978835979, 
ES: 2080    acc: 0.8404100529100529, 
ES: 2090    acc: 0.8476190476190476, 
ES: 2100    acc: 0.8457010582010582, 
ES: 2110    acc: 0.8452380952380952, 
ES: 2120    acc: 0.8492063492063492, 
ES: 2130    acc: 0.8449074074074074, 
ES: 2140    acc: 0.8398148148148147, 
ES: 2150    acc: 0.8438492063492063, 
ES: 2160    acc: 0.8464285714285713, 
ES: 2170    acc: 0.8515211640211641, 
ES: 2180    acc: 0.8518518518518519, 
ES: 2190    acc: 0.8462301587301587, 
ES: 2200    acc: 0.8476851851851853, 
