ES: 0    acc: 0.08253968253968254,
ES: 10    acc: 0.7855820105820105,
ES: 20    acc: 0.6775132275132275,
ES: 30    acc: 0.7524470899470899,
ES: 40    acc: 0.7587962962962964,
ES: 50    acc: 0.7404761904761905,
ES: 60    acc: 0.7698412698412699,
ES: 70    acc: 0.7697089947089949,
ES: 80    acc: 0.7619708994708994,
ES: 90    acc: 0.7552910052910053,
ES: 100    acc: 0.7580026455026455,
ES: 110    acc: 0.7267195767195769,
ES: 120    acc: 0.7256613756613757,
ES: 130    acc: 0.8359126984126984,
ES: 140    acc: 0.7664021164021163,
ES: 150    acc: 0.780952380952381,
ES: 160    acc: 0.7488756613756615,
ES: 170    acc: 0.7357142857142857,
ES: 180    acc: 0.7853174603174604,
ES: 190    acc: 0.7512566137566137,
ES: 200    acc: 0.7577380952380952,
ES: 210    acc: 0.7669312169312169,
ES: 220    acc: 0.7546296296296297,
ES: 230    acc: 0.7849867724867725,
ES: 240    acc: 0.8066798941798942,
ES: 250    acc: 0.7478174603174603,
ES: 260    acc: 0.7951719576719578,
ES: 270    acc: 0.7489417989417989,
ES: 280    acc: 0.7231481481481482,
ES: 290    acc: 0.8113095238095237,
ES: 300    acc: 0.7576058201058202,
ES: 310    acc: 0.8513227513227513,
ES: 320    acc: 0.8501984126984127,
ES: 330    acc: 0.8523809523809524,
ES: 340    acc: 0.8456349206349205,
ES: 350    acc: 0.8451719576719576,
ES: 360    acc: 0.8464285714285713,
ES: 370    acc: 0.8396164021164021,
ES: 380    acc: 0.8490740740740741,
ES: 390    acc: 0.8494708994708994,
ES: 400    acc: 0.8517195767195769,
ES: 410    acc: 0.8502645502645503,
ES: 420    acc: 0.8466931216931217,
ES: 430    acc: 0.8433862433862434,
ES: 440    acc: 0.8386904761904763,
ES: 450    acc: 0.8294312169312169,
ES: 460    acc: 0.8248677248677249,
ES: 470    acc: 0.8472883597883598,
ES: 480    acc: 0.8496031746031747,
ES: 490    acc: 0.8453703703703704,
ES: 500    acc: 0.8146825396825399,
ES: 510    acc: 0.8257275132275133,
ES: 520    acc: 0.8375661375661375,
ES: 530    acc: 0.8528439153439153,
ES: 540    acc: 0.8425264550264548,
ES: 550    acc: 0.8490079365079366,
ES: 560    acc: 0.8501984126984127,
ES: 570    acc: 0.8419973544973546,
ES: 580    acc: 0.8438492063492063,
ES: 590    acc: 0.8431878306878305,
ES: 600    acc: 0.8424603174603174,
ES: 610    acc: 0.852116402116402,
ES: 620    acc: 0.8449074074074074,
ES: 630    acc: 0.8534391534391534,
ES: 640    acc: 0.852116402116402,
ES: 650    acc: 0.8474206349206348,
ES: 660    acc: 0.8533730158730158,
ES: 670    acc: 0.8462301587301587,
ES: 680    acc: 0.8529100529100528,
ES: 690    acc: 0.8521825396825398,
ES: 700    acc: 0.8501984126984128,
ES: 710    acc: 0.8441137566137566,
ES: 720    acc: 0.8507936507936508,
ES: 730    acc: 0.8401455026455027,
ES: 740    acc: 0.8521825396825398,
ES: 750    acc: 0.8520502645502648,
ES: 760    acc: 0.8474206349206348,
ES: 770    acc: 0.8523148148148147,
ES: 780    acc: 0.8481481481481483,
ES: 790    acc: 0.8485449735449734,
ES: 800    acc: 0.8465608465608465,
ES: 810    acc: 0.8445105820105819,
ES: 820    acc: 0.8463624338624338,
ES: 830    acc: 0.8510582010582011,
ES: 840    acc: 0.8492063492063491,
ES: 850    acc: 0.8447089947089946,
ES: 860    acc: 0.8504629629629632,
ES: 870    acc: 0.8518518518518517,
ES: 880    acc: 0.8448412698412697,
ES: 890    acc: 0.8519841269841271,
ES: 900    acc: 0.8518518518518517,
ES: 910    acc: 0.8289682539682539,
ES: 920    acc: 0.8478174603174604,
ES: 930    acc: 0.8462301587301587,
ES: 940    acc: 0.8498015873015874,
ES: 950    acc: 0.8478835978835978,
ES: 960    acc: 0.8522486772486774,
ES: 970    acc: 0.8483465608465608,
ES: 980    acc: 0.8378306878306878,
ES: 990    acc: 0.8525132275132276,
ES: 1000    acc: 0.8526455026455027,
ES: 1010    acc: 0.843121693121693,
ES: 1020    acc: 0.8538359788359788,
ES: 1030    acc: 0.8427248677248678,
ES: 1040    acc: 0.8529100529100531,
ES: 1050    acc: 0.850925925925926,
ES: 1060    acc: 0.852116402116402,
ES: 1070    acc: 0.8503968253968253,
ES: 1080    acc: 0.8528439153439151,
ES: 1090    acc: 0.8434523809523808,
ES: 1100    acc: 0.8456349206349205,
ES: 1110    acc: 0.8491402116402117,
ES: 1120    acc: 0.8402116402116402,
ES: 1130    acc: 0.8462962962962962,
ES: 1140    acc: 0.8533730158730158,
ES: 1150    acc: 0.8466931216931215,
ES: 1160    acc: 0.845304232804233,
ES: 1170    acc: 0.8500661375661375,
ES: 1180    acc: 0.8445767195767196,
ES: 1190    acc: 0.8523148148148149,
ES: 1200    acc: 0.8297619047619047,
ES: 1210    acc: 0.8452380952380951,
ES: 1220    acc: 0.8522486772486774,
ES: 1230    acc: 0.8503968253968253,
ES: 1240    acc: 0.851388888888889,
ES: 1250    acc: 0.8536375661375661,
ES: 1260    acc: 0.8511243386243388,
ES: 1270    acc: 0.850925925925926,
ES: 1280    acc: 0.8511243386243386,
ES: 1290    acc: 0.8511904761904763,
ES: 1300    acc: 0.8412037037037038,
ES: 1310    acc: 0.8471560846560846,
ES: 1320    acc: 0.8478835978835979,
ES: 1330    acc: 0.8448412698412697,
ES: 1340    acc: 0.8544312169312169,
ES: 1350    acc: 0.8447751322751322,
ES: 1360    acc: 0.8394179894179894,
ES: 1370    acc: 0.8474206349206348,
ES: 1380    acc: 0.8538359788359788,
ES: 1390    acc: 0.8518518518518517,
ES: 1400    acc: 0.8496031746031747,
ES: 1410    acc: 0.8472222222222223,
ES: 1420    acc: 0.850925925925926,
ES: 1430    acc: 0.8425925925925926,
ES: 1440    acc: 0.8492063492063492,
ES: 1450    acc: 0.851388888888889,
ES: 1460    acc: 0.8521825396825395,
ES: 1470    acc: 0.8496693121693122,
ES: 1480    acc: 0.8337301587301587,
ES: 1490    acc: 0.8447089947089947,
ES: 1500    acc: 0.8449074074074074,
ES: 1510    acc: 0.845568783068783,
ES: 1520    acc: 0.8427910052910054,
ES: 1530    acc: 0.8494708994708994,
ES: 1540    acc: 0.8528439153439153,
ES: 1550    acc: 0.8502645502645503,
ES: 1560    acc: 0.8440476190476189,
ES: 1570    acc: 0.8537698412698413,
ES: 1580    acc: 0.8501984126984127,
ES: 1590    acc: 0.8485449735449736,
ES: 1600    acc: 0.8503968253968253,
ES: 1610    acc: 0.85,
ES: 1620    acc: 0.8427248677248678,
ES: 1630    acc: 0.845304232804233,
ES: 1640    acc: 0.8396164021164021,
ES: 1650    acc: 0.8488756613756614,
ES: 1660    acc: 0.8477513227513228,
ES: 1670    acc: 0.8505291005291005,
ES: 1680    acc: 0.8525132275132276,
ES: 1690    acc: 0.8427910052910054,
ES: 1700    acc: 0.8412698412698413,
ES: 1710    acc: 0.8521825396825398,
ES: 1720    acc: 0.85,
ES: 1730    acc: 0.8396825396825397,
ES: 1740    acc: 0.8520502645502646,
ES: 1750    acc: 0.8514550264550265,
ES: 1760    acc: 0.850462962962963,
ES: 1770    acc: 0.8458333333333334,
ES: 1780    acc: 0.8414021164021165,
ES: 1790    acc: 0.8505952380952382,
ES: 1800    acc: 0.8488095238095239,
ES: 1810    acc: 0.8509920634920636,
ES: 1820    acc: 0.8519179894179894,
ES: 1830    acc: 0.8486772486772486,
ES: 1840    acc: 0.8466931216931217,
ES: 1850    acc: 0.850462962962963,
ES: 1860    acc: 0.846031746031746,
ES: 1870    acc: 0.8494708994708994,
ES: 1880    acc: 0.8497354497354497,
ES: 1890    acc: 0.842195767195767,
ES: 1900    acc: 0.8412698412698415,
ES: 1910    acc: 0.8482804232804234,
ES: 1920    acc: 0.8486111111111111,
ES: 1930    acc: 0.8489417989417989,
ES: 1940    acc: 0.8425925925925926,
ES: 1950    acc: 0.8482804232804233,
ES: 1960    acc: 0.8448412698412697,
ES: 1970    acc: 0.8479497354497353,
ES: 1980    acc: 0.8504629629629628,
ES: 1990    acc: 0.8477513227513228,
ES: 2000    acc: 0.8521825396825398,
ES: 2010    acc: 0.8513227513227513,
ES: 2020    acc: 0.8461640211640212,
ES: 2030    acc: 0.8426587301587303,
ES: 2040    acc: 0.8437830687830686,
ES: 2050    acc: 0.850462962962963,
ES: 2060    acc: 0.8477513227513226,
ES: 2070    acc: 0.850925925925926,
ES: 2080    acc: 0.8518518518518519,
ES: 2090    acc: 0.8494708994708995,
ES: 2100    acc: 0.8448412698412697,
ES: 2110    acc: 0.8423280423280423,
ES: 2120    acc: 0.851521164021164,
ES: 2130    acc: 0.8487433862433861,
ES: 2140    acc: 0.8517195767195768,
ES: 2150    acc: 0.8308862433862434,
ES: 2160    acc: 0.8480820105820104,
ES: 2170    acc: 0.8367063492063492,
ES: 2180    acc: 0.8494047619047619,
ES: 2190    acc: 0.8492724867724867,
ES: 2200    acc: 0.8486772486772486,
ES: 2210    acc: 0.8524470899470898,
ES: 2220    acc: 0.8455687830687832,
ES: 2230    acc: 0.845568783068783,
ES: 2240    acc: 0.8472222222222221,
ES: 2250    acc: 0.8519841269841271,
ES: 2260    acc: 0.8540343915343914,
ES: 2270    acc: 0.8480820105820104,
