ES: 0    acc: 0.06064814814814815,
ES: 10    acc: 0.6849867724867726,
ES: 20    acc: 0.7416005291005291,
ES: 30    acc: 0.6559523809523811,
ES: 40    acc: 0.6961640211640211,
ES: 50    acc: 0.7332671957671957,
ES: 60    acc: 0.735648148148148,
ES: 70    acc: 0.7337962962962964,
ES: 80    acc: 0.7147486772486772,
ES: 90    acc: 0.7395502645502645,
ES: 100    acc: 0.7872354497354497,
ES: 110    acc: 0.7663359788359787,
ES: 120    acc: 0.7560185185185185,
ES: 130    acc: 0.7174603174603174,
ES: 140    acc: 0.7270502645502646,
ES: 150    acc: 0.743452380952381,
ES: 160    acc: 0.7541666666666668,
ES: 170    acc: 0.7156084656084657,
ES: 180    acc: 0.7358465608465607,
ES: 190    acc: 0.7324735449735448,
ES: 200    acc: 0.727116402116402,
ES: 210    acc: 0.7327380952380953,
ES: 220    acc: 0.7449074074074075,
ES: 230    acc: 0.6875000000000001,
ES: 240    acc: 0.7159391534391535,
ES: 250    acc: 0.7160052910052909,
ES: 260    acc: 0.7593253968253968,
ES: 270    acc: 0.7845238095238096,
ES: 280    acc: 0.7128968253968255,
ES: 290    acc: 0.7609126984126984,
ES: 300    acc: 0.743452380952381,
ES: 310    acc: 0.7875661375661376,
ES: 320    acc: 0.705952380952381,
ES: 330    acc: 0.7847222222222223,
ES: 340    acc: 0.7880952380952382,
ES: 350    acc: 0.7690476190476191,
ES: 360    acc: 0.7681216931216931,
ES: 370    acc: 0.7234126984126985,
ES: 380    acc: 0.7380952380952381,
ES: 390    acc: 0.7712301587301587,
ES: 400    acc: 0.7757936507936508,
ES: 410    acc: 0.7923941798941799,
ES: 420    acc: 0.7908730158730158,
ES: 430    acc: 0.7626984126984127,
ES: 440    acc: 0.8062830687830689,
ES: 450    acc: 0.827116402116402,
ES: 460    acc: 0.7783068783068783,
ES: 470    acc: 0.7763888888888889,
ES: 480    acc: 0.7838624338624338,
ES: 490    acc: 0.7693121693121693,
ES: 500    acc: 0.7970238095238096,
ES: 510    acc: 0.8072751322751323,
ES: 520    acc: 0.7972883597883598,
ES: 530    acc: 0.7873677248677249,
ES: 540    acc: 0.7897486772486773,
ES: 550    acc: 0.7759259259259259,
ES: 560    acc: 0.7631613756613757,
ES: 570    acc: 0.7846560846560846,
ES: 580    acc: 0.7478835978835979,
ES: 590    acc: 0.7484126984126984,
ES: 600    acc: 0.7985449735449734,
ES: 610    acc: 0.7955687830687832,
ES: 620    acc: 0.7642195767195767,
ES: 630    acc: 0.7618386243386244,
ES: 640    acc: 0.7659391534391535,
ES: 650    acc: 0.7542989417989417,
ES: 660    acc: 0.7665343915343915,
ES: 670    acc: 0.8010582010582011,
ES: 680    acc: 0.7709656084656085,
ES: 690    acc: 0.7397486772486772,
ES: 700    acc: 0.752910052910053,
ES: 710    acc: 0.7960317460317461,
ES: 720    acc: 0.7767195767195767,
ES: 730    acc: 0.7626322751322752,
ES: 740    acc: 0.7335317460317461,
ES: 750    acc: 0.7342592592592593,
ES: 760    acc: 0.7744047619047618,
ES: 770    acc: 0.7761904761904763,
ES: 780    acc: 0.7863095238095238,
ES: 790    acc: 0.7714285714285715,
ES: 800    acc: 0.7724867724867726,
ES: 810    acc: 0.7211640211640211,
ES: 820    acc: 0.7463624338624338,
ES: 830    acc: 0.7908068783068782,
ES: 840    acc: 0.7645502645502646,
ES: 850    acc: 0.7373677248677248,
ES: 860    acc: 0.7744708994708994,
ES: 870    acc: 0.7343253968253969,
ES: 880    acc: 0.7843915343915344,
ES: 890    acc: 0.8005952380952381,
