ES: 0    acc: 0.08465608465608465,
ES: 10    acc: 0.7425264550264551,
ES: 20    acc: 0.7417328042328044,
ES: 30    acc: 0.7029761904761905,
ES: 40    acc: 0.6930555555555556,
ES: 50    acc: 0.6957010582010583,
ES: 60    acc: 0.7310846560846562,
ES: 70    acc: 0.712037037037037,
ES: 80    acc: 0.7261904761904763,
ES: 90    acc: 0.6484788359788359,
ES: 100    acc: 0.7228174603174604,
ES: 110    acc: 0.6944444444444444,
ES: 120    acc: 0.7055555555555555,
ES: 130    acc: 0.6869047619047619,
ES: 140    acc: 0.7576058201058201,
ES: 150    acc: 0.7174603174603175,
ES: 160    acc: 0.6543650793650793,
ES: 170    acc: 0.6888227513227513,
ES: 180    acc: 0.6988756613756613,
ES: 190    acc: 0.7371031746031745,
ES: 200    acc: 0.6668650793650794,
ES: 210    acc: 0.7242724867724868,
ES: 220    acc: 0.7134259259259259,
ES: 230    acc: 0.7242724867724869,
ES: 240    acc: 0.7219576719576721,
ES: 250    acc: 0.688425925925926,
ES: 260    acc: 0.6765873015873015,
ES: 270    acc: 0.7171957671957673,
ES: 280    acc: 0.6576719576719577,
ES: 290    acc: 0.7172619047619048,
ES: 300    acc: 0.71005291005291,
ES: 310    acc: 0.78478835978836,
ES: 320    acc: 0.7889550264550265,
ES: 330    acc: 0.7420634920634921,
ES: 340    acc: 0.6240079365079365,
ES: 350    acc: 0.6730820105820106,
ES: 360    acc: 0.7894179894179894,
ES: 370    acc: 0.7462962962962962,
ES: 380    acc: 0.7562169312169312,
ES: 390    acc: 0.7887566137566138,
ES: 400    acc: 0.78994708994709,
ES: 410    acc: 0.6738756613756614,
ES: 420    acc: 0.647420634920635,
ES: 430    acc: 0.8015211640211641,
ES: 440    acc: 0.726521164021164,
ES: 450    acc: 0.5683862433862436,
ES: 460    acc: 0.5949735449735449,
ES: 470    acc: 0.6623677248677249,
ES: 480    acc: 0.671957671957672,
ES: 490    acc: 0.7853174603174603,
ES: 500    acc: 0.7850529100529101,
ES: 510    acc: 0.7845238095238095,
ES: 520    acc: 0.7958333333333334,
ES: 530    acc: 0.6656084656084655,
ES: 540    acc: 0.6851190476190476,
ES: 550    acc: 0.6758597883597883,
ES: 560    acc: 0.6406746031746032,
ES: 570    acc: 0.583399470899471,
ES: 580    acc: 0.7418650793650794,
ES: 590    acc: 0.6851851851851852,
ES: 600    acc: 0.7858465608465608,
ES: 610    acc: 0.7987433862433863,
ES: 620    acc: 0.7921957671957672,
ES: 630    acc: 0.7857804232804233,
ES: 640    acc: 0.7527116402116403,
ES: 650    acc: 0.6970899470899472,
ES: 660    acc: 0.7419973544973544,
ES: 670    acc: 0.7412037037037037,
ES: 680    acc: 0.606084656084656,
ES: 690    acc: 0.7248015873015873,
ES: 700    acc: 0.8128968253968253,
ES: 710    acc: 0.7737433862433862,
ES: 720    acc: 0.6941137566137565,
ES: 730    acc: 0.646957671957672,
ES: 740    acc: 0.8078042328042327,
ES: 750    acc: 0.7485449735449736,
ES: 760    acc: 0.7838624338624338,
ES: 770    acc: 0.7650132275132274,
ES: 780    acc: 0.7851851851851853,
ES: 790    acc: 0.8074074074074075,
ES: 800    acc: 0.7984126984126985,
ES: 810    acc: 0.7330026455026454,
ES: 820    acc: 0.6646825396825398,
ES: 830    acc: 0.6577380952380951,
ES: 840    acc: 0.7068783068783069,
ES: 850    acc: 0.7902777777777779,
ES: 860    acc: 0.7993386243386242,
ES: 870    acc: 0.7865079365079366,
ES: 880    acc: 0.7853835978835979,
ES: 890    acc: 0.7947089947089947,
ES: 900    acc: 0.8072751322751325,
ES: 910    acc: 0.7828703703703704,
ES: 920    acc: 0.693584656084656,
ES: 930    acc: 0.7591269841269842,
ES: 940    acc: 0.621031746031746,
ES: 950    acc: 0.8050925925925927,
ES: 960    acc: 0.7228174603174604,
ES: 970    acc: 0.8097883597883598,
ES: 980    acc: 0.7992724867724867,
ES: 990    acc: 0.7861111111111111,
ES: 1000    acc: 0.7398148148148149,
ES: 1010    acc: 0.7769179894179894,
ES: 1020    acc: 0.7231481481481482,
ES: 1030    acc: 0.7673280423280422,
ES: 1040    acc: 0.6721560846560847,
ES: 1050    acc: 0.8003968253968254,
ES: 1060    acc: 0.7085978835978837,
ES: 1070    acc: 0.7222222222222221,
ES: 1080    acc: 0.808201058201058,
ES: 1090    acc: 0.7152777777777778,
ES: 1100    acc: 0.7468915343915344,
ES: 1110    acc: 0.7132275132275131,
ES: 1120    acc: 0.7730820105820106,
ES: 1130    acc: 0.8006613756613756,
ES: 1140    acc: 0.8082671957671957,
ES: 1150    acc: 0.7591269841269841,
ES: 1160    acc: 0.758531746031746,
ES: 1170    acc: 0.7275132275132274,
ES: 1180    acc: 0.7489417989417989,
ES: 1190    acc: 0.8046957671957673,
ES: 1200    acc: 0.7469576719576719,
ES: 1210    acc: 0.7529761904761905,
ES: 1220    acc: 0.7555555555555554,
ES: 1230    acc: 0.8012566137566137,
ES: 1240    acc: 0.8009920634920634,
ES: 1250    acc: 0.7979497354497355,
ES: 1260    acc: 0.7177248677248678,
ES: 1270    acc: 0.7593915343915344,
ES: 1280    acc: 0.7369708994708996,
ES: 1290    acc: 0.7617724867724868,
ES: 1300    acc: 0.785978835978836,
ES: 1310    acc: 0.8047619047619048,
ES: 1320    acc: 0.7914021164021163,
ES: 1330    acc: 0.7844576719576719,
ES: 1340    acc: 0.8126984126984127,
ES: 1350    acc: 0.7625661375661374,
ES: 1360    acc: 0.7980820105820106,
ES: 1370    acc: 0.8154761904761904,
ES: 1380    acc: 0.7588624338624339,
ES: 1390    acc: 0.7932539682539683,
ES: 1400    acc: 0.8081349206349205,
ES: 1410    acc: 0.799537037037037,
ES: 1420    acc: 0.8027116402116403,
ES: 1430    acc: 0.7277116402116401,
ES: 1440    acc: 0.7865079365079365,
ES: 1450    acc: 0.6884259259259259,
ES: 1460    acc: 0.7156746031746033,
ES: 1470    acc: 0.7822089947089947,
ES: 1480    acc: 0.7979497354497355,
ES: 1490    acc: 0.8087301587301587,
ES: 1500    acc: 0.8039021164021165,
ES: 1510    acc: 0.8139550264550266,
ES: 1520    acc: 0.7951058201058201,
ES: 1530    acc: 0.794510582010582,
ES: 1540    acc: 0.7966269841269842,
ES: 1550    acc: 0.8312169312169312,
ES: 1560    acc: 0.8261904761904763,
ES: 1570    acc: 0.8313492063492063,
ES: 1580    acc: 0.7587301587301587,
ES: 1590    acc: 0.8126984126984127,
ES: 1600    acc: 0.7648148148148148,
ES: 1610    acc: 0.7206349206349207,
ES: 1620    acc: 0.8027116402116402,
ES: 1630    acc: 0.7189814814814814,
ES: 1640    acc: 0.812632275132275,
ES: 1650    acc: 0.7919973544973545,
ES: 1660    acc: 0.694047619047619,
ES: 1670    acc: 0.8004629629629629,
ES: 1680    acc: 0.8017195767195767,
ES: 1690    acc: 0.7580026455026456,
ES: 1700    acc: 0.7631613756613758,
ES: 1710    acc: 0.8025132275132275,
ES: 1720    acc: 0.8015211640211639,
ES: 1730    acc: 0.80760582010582,
ES: 1740    acc: 0.8029761904761905,
ES: 1750    acc: 0.7908068783068783,
ES: 1760    acc: 0.803042328042328,
ES: 1770    acc: 0.7886243386243387,
ES: 1780    acc: 0.791005291005291,
ES: 1790    acc: 0.7682539682539682,
ES: 1800    acc: 0.8057539682539684,
ES: 1810    acc: 0.8015211640211639,
ES: 1820    acc: 0.8013227513227512,
ES: 1830    acc: 0.8023809523809524,
ES: 1840    acc: 0.8005291005291006,
ES: 1850    acc: 0.7917328042328042,
ES: 1860    acc: 0.7919973544973545,
ES: 1870    acc: 0.8165343915343914,
ES: 1880    acc: 0.7877645502645502,
ES: 1890    acc: 0.8044312169312168,
ES: 1900    acc: 0.8093915343915343,
ES: 1910    acc: 0.81739417989418,
ES: 1920    acc: 0.7950396825396825,
ES: 1930    acc: 0.8090608465608465,
ES: 1940    acc: 0.8196428571428571,
ES: 1950    acc: 0.8012566137566137,
ES: 1960    acc: 0.7813492063492063,
ES: 1970    acc: 0.7970899470899472,
ES: 1980    acc: 0.8183201058201057,
ES: 1990    acc: 0.7915343915343916,
ES: 2000    acc: 0.807804232804233,
ES: 2010    acc: 0.8144841269841269,
ES: 2020    acc: 0.8007275132275133,
ES: 2030    acc: 0.7962962962962963,
ES: 2040    acc: 0.8073412698412697,
ES: 2050    acc: 0.8033068783068783,
ES: 2060    acc: 0.8032407407407408,
ES: 2070    acc: 0.807804232804233,
ES: 2080    acc: 0.8027777777777778,
ES: 2090    acc: 0.8179232804232803,
ES: 2100    acc: 0.795436507936508,
ES: 2110    acc: 0.7887566137566137,
ES: 2120    acc: 0.8042989417989419,
ES: 2130    acc: 0.8062830687830687,
ES: 2140    acc: 0.807936507936508,
ES: 2150    acc: 0.7794973544973545,
ES: 2160    acc: 0.8160714285714287,
ES: 2170    acc: 0.8138227513227514,
ES: 2180    acc: 0.8146164021164022,
ES: 2190    acc: 0.7855158730158729,
ES: 2200    acc: 0.7963624338624339,
ES: 2210    acc: 0.7911375661375659,
ES: 2220    acc: 0.8066137566137564,
ES: 2230    acc: 0.7890873015873016,
ES: 2240    acc: 0.8140211640211639,
ES: 2250    acc: 0.7801587301587303,
ES: 2260    acc: 0.803373015873016,
ES: 2270    acc: 0.8047619047619048,
ES: 2280    acc: 0.8130291005291005,
ES: 2290    acc: 0.8083333333333332,
ES: 2300    acc: 0.7930555555555555,
ES: 2310    acc: 0.8218253968253968,
ES: 2320    acc: 0.8245370370370371,
ES: 2330    acc: 0.8009920634920634,
ES: 2340    acc: 0.8255952380952379,
ES: 2350    acc: 0.8166005291005292,
ES: 2360    acc: 0.8001984126984126,
ES: 2370    acc: 0.8127645502645502,
ES: 2380    acc: 0.8067460317460317,
ES: 2390    acc: 0.8078703703703702,
ES: 2400    acc: 0.8251984126984129,
ES: 2410    acc: 0.8056878306878307,
ES: 2420    acc: 0.812962962962963,
ES: 2430    acc: 0.8068121693121693,
ES: 2440    acc: 0.8187830687830688,
ES: 2450    acc: 0.822420634920635,
ES: 2460    acc: 0.8183862433862433,
ES: 2470    acc: 0.8007275132275131,
ES: 2480    acc: 0.8047619047619048,
ES: 2490    acc: 0.823015873015873,
ES: 2500    acc: 0.8181878306878307,
ES: 2510    acc: 0.8191798941798941,
ES: 2520    acc: 0.8068121693121693,
ES: 2530    acc: 0.8229497354497355,
ES: 2540    acc: 0.8117724867724869,
ES: 2550    acc: 0.8105158730158729,
ES: 2560    acc: 0.8212301587301587,
ES: 2570    acc: 0.8002645502645503,
ES: 2580    acc: 0.8056216931216932,
ES: 2590    acc: 0.8139550264550264,
ES: 2600    acc: 0.8056878306878307,
ES: 2610    acc: 0.7792989417989418,
ES: 2620    acc: 0.8140211640211641,
ES: 2630    acc: 0.8175264550264549,
ES: 2640    acc: 0.8148809523809524,
ES: 2650    acc: 0.8165343915343917,
ES: 2660    acc: 0.7762566137566138,
ES: 2670    acc: 0.8087301587301587,
ES: 2680    acc: 0.8228174603174603,
ES: 2690    acc: 0.8152116402116402,
ES: 2700    acc: 0.8226190476190476,
ES: 2710    acc: 0.8173280423280422,
ES: 2720    acc: 0.817989417989418,
ES: 2730    acc: 0.8188492063492063,
ES: 2740    acc: 0.7950396825396826,
ES: 2750    acc: 0.8144179894179894,
ES: 2760    acc: 0.8183201058201058,
ES: 2770    acc: 0.8058862433862435,
ES: 2780    acc: 0.8144841269841271,
ES: 2790    acc: 0.8130291005291006,
ES: 2800    acc: 0.8040343915343916,
ES: 2810    acc: 0.8123677248677248,
ES: 2820    acc: 0.8130291005291006,
ES: 2830    acc: 0.8150793650793651,
ES: 2840    acc: 0.812962962962963,
ES: 2850    acc: 0.8171957671957673,
ES: 2860    acc: 0.821957671957672,
ES: 2870    acc: 0.7873015873015874,
ES: 2880    acc: 0.8133597883597883,
ES: 2890    acc: 0.8049603174603174,
ES: 2900    acc: 0.8157407407407407,
ES: 2910    acc: 0.8099206349206348,
ES: 2920    acc: 0.789616402116402,
ES: 2930    acc: 0.8286375661375661,
ES: 2940    acc: 0.8088624338624338,
ES: 2950    acc: 0.8194444444444444,
ES: 2960    acc: 0.8011243386243386,
ES: 2970    acc: 0.8031746031746032,
ES: 2980    acc: 0.8161375661375662,
ES: 2990    acc: 0.7916005291005291,
